ProgramNumber,Category,ProgramName,PlaceName,Image,StartDay,EndDay,TargetAudience,Fee
15,독주/독창회,임진영 피아노 독주회,세종문화회관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f66eedef3657487484282670b81c9836&thumb=Y,2022-03-11,2022-03-11,만 7세 이상 ,전석 20000원  
16,독주/독창회,베이스 장영근 독창회,세종문화회관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=604d73fb75bf4e74b9334e0d8154b552&thumb=Y,2022-03-13,2022-03-13,만 7세 이상 관람 가능 ,전석 30000원
17,독주/독창회,장문영 바이올린 독주회,세종문화회관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d57ff34e3b2743529b24c42cf9846378&thumb=Y,2022-03-20,2022-03-20,미취학아동 입장불가,전석 20000원
18,무용,특별초청공연  제주도립무용단 <녹담>,노원문화예술회관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=bc2d54bd7cda47f7a170ec02942681ca&thumb=Y,2022-03-12,2022-03-12,8세 이상,전석 10000원
19,무용,안무가전 TANZ ARGUMENT,성수아트홀,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=18a7b06e25f1492d9b5ccb6b9b583033&thumb=Y,2022-03-11,2022-03-12,홈페이지 참고,홈페이지 참고
20,문화교양/강좌,서울상상나라 돌려 돌려 바퀴 발전기,서울상상나라,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=2be73bec3cfc40ddbbbf918fb7a20198&thumb=Y,2022-02-08,2022-06-30,6세 이상 어린이,무료
21,문화교양/강좌,미디어센터 관악 <메타버스> 교육 안내,관악문화재단,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ed4bb2192d56496587b1db0254c8573c&thumb=Y,2022-02-04,2022-03-31,초등학교 4-6학년 성인,제페토 파헤치기 20000원 / 로블록스 게임만들고 수익화해보기 50000원
22,문화교양/강좌,노원문화재단 문화강좌 노원유스챔버오케스트라 수강생 모집,노원문화예술회관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4a40f504967c4e989d571c43b6909430&thumb=Y,2022-02-22,2022-03-17,초등학교 3학년 ~ 고등학교 2학년,12만원 (3개월)
23,문화교양/강좌,<꿈나무호기심탐험대Ⅰ>“안녕? 박물관으로 놀러와” (온라인),몽촌역사관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f1e4568f277a4f2597c8e984ff3a8b06&thumb=Y,2022-03-08,2022-03-17,유아 단체,
24,문화교양/강좌,<꿈마을놀이체험교실> “누가누가 잘하나 우리놀이” (온라인),몽촌역사관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=fa40280c48084981820cb08f0019b0f8&thumb=Y,2022-03-05,2022-03-20,초등 1~5학년 동반가족,
25,문화교양/강좌,<꿈마을울림교실> ,몽촌역사관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b959c23eda9441fbb6167f95d8ac6238&thumb=Y,2022-03-03,2022-03-24,초등 3~5학년 동반가족,
