group,placeName,lineNumber,station,address,lat,lng
박물관/기념관,초전섬유 퀼트박물관,4호선,명동역,서울 중구 남산동1가 20,37.55815 ,126.98423 
공연/전시장,충무로영상센터 오!재미동,"3호선, 4호선",충무로역,서울 중구 퇴계로 199,37.56128 ,126.99431 
공연장,충무아트센터,"2호선, 6호선",신당역,서울 중구 퇴계로 387,37.56605 ,127.01465 
유적지,충숙공이상길묘역,7호선,하계역,서울 노원구 한글비석로 144,37.63986 ,127.07689 
공연장,충정로난타극장,5호선,충정로역,서울 서대문구 충정로3가 476,,
유적지,충헌공김구묘역,9호선,한성백제역,서울 송파구 올림픽로 424,37.51924 ,127.12070 
미술관,카이스갤러리,수인분당선,압구정로데오역,서울 강남구 청담동 압구정로80길 17,37.52463 ,127.04534 
기타,카페 1257,7호선,학동역,서울 강남구 학동로 146,,
박물관/기념관,코리아나화장박물관,3호선,압구정역,서울 강남구 언주로 827,37.56605 ,127.01466 
공연장,코엑스 오디토리움,9호선,봉은사역,서울 강남구 삼성동 159,37.51301 ,127.05854 
미술관,코엑스전시장,2호선,삼성역,서울 강남구 삼성동 159-1,37.51172 ,127.05916 
공연장,크리에이터스 스페이스,6호선,안암역,서울 동대문구 안암로 86-1,37.58349762647474127.03058027431109,127.03058 
미술관,킵인터치 서울,3호선,안국역,서울 종로구 북촌로1길 13,37.57732 ,126.98497 
박물관/기념관,태권도기념관,"2호선, 신분당선",강남역,서울 강남구 역삼동 635,37.50171 ,127.03081 
유적지,태릉.강릉,6호선,화랑대역,서울 노원구 화랑로 681,,
미술관,토탈미술관,3호선,경복궁역,서울 종로구 평창동 465-2,37.61225 ,126.97566 
미술관,토포하우스,3호선,안국역,서울 종로구 관훈동 184,37.57408 ,126.98431 
미술관,통의동 보안여관,3호선,경복궁역,서울 동대문구 청계천로 517,37.57912 ,126.97368 
공연장,팝콘D스퀘어,"1호선, 경의선",용산역,서울 용산구 한강대로23길 55,37.52890 ,126.96318 
박물관/기념관,평강성서유물박물관,1호선,오류동역,서울 구로구 오류동 150-15,37.49192 ,126.84402 
공연/전시장,평화문화진지,"1호선, 7호선",도봉산역,서울 도봉구 마들로 932,37.69080 ,127.04719 
미술관,포스코미술관,"2호선, 수인분당선",선릉역,서울 강남구 대치동 892,"37.50586444381856,",127.05611 
공연장,폴리미디어씨어터,4호선,혜화역,서울 종로구 동숭동 1-75,37.58226 ,127.00363 
공연장,폼텍웍스홀,"2호선, 6호선",합정역,서울 마포구 잔다리로3길 34,37.55066 ,126.91787 
